Zipcode,ZipCodeType,City,State,LocationType,Lat,Long,Location,Decommisioned,TaxReturnsFiled,EstimatedPopulation,TotalWages
77028,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,7130,12237,147484311
77029,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,7224,13364,186875403
77030,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,4959,7819,418470218
77031,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,6155,10795,198761276
77032,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,4186,7859,107166231
77033,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,12016,20575,247086136
77034,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,12872,23939,388940937
77035,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,14048,24203,485400291
77036,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,22367,39848,515985092
77037,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,6786,13468,163962905
77038,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,9421,18155,248364285
77039,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,10044,19546,260488749
77040,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,19668,35441,893660853
77041,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,15589,29844,994901211
77042,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,17589,27841,883132960
77043,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,10075,17872,404351687
77044,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,11510,22673,589718805
77045,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,12548,22459,311090500
77046,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,849,1181,119579723
77047,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,9537,15986,312597470
77048,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,6431,11044,161294752
77049,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,11035,21095,408500501
77050,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,1730,3245,43502029
77051,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,6189,10299,122351454
77052,PO BOX,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,269,367,14889719
77053,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,12099,21930,325151456
77054,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,9953,13884,386478173
77055,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,15313,28009,789580616
77056,STANDARD,Houston,TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,False,10624,16303,1549421428
